"","gene","celltype"
"1906","Slc2a1","endoMural"
"1907","Cd34","endoMural"
"1908","Arhgap29","endoMural"
"1909","Nfkbia","endoMural"
"1910","Akap2","endoMural"
"1911","Ly6e","endoMural"
"1912","Ptprg","endoMural"
"1913","Utrn","endoMural"
"1914","Zfp36l1","endoMural"
"1915","Iqgap1","endoMural"
"1916","Mfsd2a","endoMural"
"1917","Dusp1","endoMural"
"1918","Slc31a1","endoMural"
"1919","Ece1","endoMural"
"1920","Arl4a","endoMural"
"1921","Agrn","endoMural"
"1922","Kitl","endoMural"
"1923","Igf1r","endoMural"
"1924","Slc16a1","endoMural"
"1925","Fermt2","endoMural"
"1926","Ptbp1","endoMural"
"1927","Itgb1","endoMural"
"1928","Pcp4l1","endoMural"
"1929","Zfp36","endoMural"
"1930","Slc38a3","endoMural"
"1931","Dusp6","endoMural"
"1932","Timp3","endoMural"
"1933","Btg2","endoMural"
"1934","Fosb","endoMural"
"1935","Actn4","endoMural"
"1936","Maoa","endoMural"
"1937","Tfrc","endoMural"
"1938","Macf1","endoMural"
"1939","Slc6a6","endoMural"
"1940","Fry","endoMural"
"1941","Ifnar1","endoMural"
"1942","Btg1","endoMural"
"1943","Serinc3","endoMural"
"1944","Ctnna1","endoMural"
"1945","Slc39a10","endoMural"
"1946","Slc3a2","endoMural"
"1947","Lrp8","endoMural"
"1948","Nampt","endoMural"
"1949","Snrk","endoMural"
"1950","Arhgef12","endoMural"
"1951","Mprip","endoMural"
"1952","Clic4","endoMural"
"1953","Hnrnpf","endoMural"
"1954","Bmpr2","endoMural"
"1955","Acin1","endoMural"
"1956","Efr3b","endoMural"
"1957","Thoc2","endoMural"
"1958","Ppp1r12a","endoMural"
"1959","Cdk11b","endoMural"
"1960","Lcat","astrocytes"
"1961","Acsbg1","astrocytes"
"1962","Aqp4","astrocytes"
"1963","Mlc1","astrocytes"
"1964","Ntsr2","astrocytes"
"1965","Gpr37l1","astrocytes"
"1966","Fgfr3","astrocytes"
"1967","Gja1","astrocytes"
"1968","Ptprz1","astrocytes"
"1969","Timp4","astrocytes"
"1970","Dio2","astrocytes"
"1971","Sdc4","astrocytes"
"1972","Prodh","astrocytes"
"1973","Ednrb","astrocytes"
"1974","Slc4a4","astrocytes"
"1975","Slc38a3","astrocytes"
"1976","Gjb6","astrocytes"
"1977","Htra1","astrocytes"
"1978","Slc6a11","astrocytes"
"1979","Fam107a","astrocytes"
"1980","Tril","astrocytes"
"1981","Slc39a12","astrocytes"
"1982","S1pr1","astrocytes"
"1983","Acsl6","astrocytes"
"1984","Atp1b2","astrocytes"
"1985","Aldh1l1","astrocytes"
"1986","Cyp2d22","astrocytes"
"1987","Scg3","astrocytes"
"1988","Tmem47","astrocytes"
"1989","Vcam1","astrocytes"
"1990","Sox9","astrocytes"
"1991","Ezr","astrocytes"
"1992","Sfxn5","astrocytes"
"1993","Mmd2","astrocytes"
"1994","Tnfrsf19","astrocytes"
"1995","Hapln1","astrocytes"
"1996","Slco1c1","astrocytes"
"1997","Rorb","astrocytes"
"1998","Prex2","astrocytes"
"1999","Appl2","astrocytes"
"2000","Slc6a1","astrocytes"
"2001","Fjx1","astrocytes"
"2002","Pygb","astrocytes"
"2003","Ttyh1","astrocytes"
"2004","Glud1","astrocytes"
"2005","Akt2","astrocytes"
"2006","Lix1","astrocytes"
"2007","Vegfa","astrocytes"
"2008","Chst2","astrocytes"
"2009","Plxnb1","astrocytes"
"2010","Fgfr1","astrocytes"
"2011","Fads1","astrocytes"
"2012","Trim9","astrocytes"
"2013","Cxcl14","astrocytes"
"2014","Sox2","astrocytes"
"2015","S100b","astrocytes"
"2016","Timp3","astrocytes"
"2017","Elovl5","astrocytes"
"2018","Daam2","astrocytes"
"2019","Lrp1","astrocytes"
"2020","Scd1","astrocytes"
"2021","Prex1","astrocytes"
"2022","Kcnj10","astrocytes"
"2023","Hepacam","astrocytes"
"2024","Abat","astrocytes"
"2025","Sdc2","astrocytes"
"2026","Grm3","astrocytes"
"2027","Luzp2","astrocytes"
"2028","Tsc22d4","astrocytes"
"2029","Agpat5","astrocytes"
"2030","Add3","astrocytes"
"2031","Ddhd1","astrocytes"
"2032","Ahcyl1","astrocytes"
"2033","Myo6","astrocytes"
"2034","Gm2a","astrocytes"
"2035","Sfxn1","astrocytes"
"2036","Gna13","astrocytes"
"2037","Fermt2","astrocytes"
"2038","Gprc5b","astrocytes"
"2039","Ttyh3","astrocytes"
"2040","Dag1","astrocytes"
"2041","Paqr8","astrocytes"
"2042","Dner","astrocytes"
"2043","Zfp36l1","astrocytes"
"2044","Pttg1ip","astrocytes"
"2045","Kcnk1","astrocytes"
"2046","Pfkm","astrocytes"
"2047","Ctsd","astrocytes"
"2048","Macf1","astrocytes"
"2049","Caskin1","astrocytes"
"2050","Arhgap5","astrocytes"
"2051","Asrgl1","astrocytes"
"2052","Tmco1","astrocytes"
"2053","Arhgef12","astrocytes"
"2054","Cs","astrocytes"
"2055","Acox1","astrocytes"
"2056","Fdft1","astrocytes"
"2057","Src","astrocytes"
"2058","Spag9","astrocytes"
"2059","Gpd2","astrocytes"
"2060","Fut9","astrocytes"
"2061","Asah1","astrocytes"
"2062","Pcdh10","astrocytes"
"2063","Tnik","astrocytes"
"2064","Abcd3","astrocytes"
"2065","Hmgcr","astrocytes"
"2066","Ctnnd2","astrocytes"
"2067","Cdh2","astrocytes"
"2068","Slc3a2","astrocytes"
"2069","Btg1","astrocytes"
"2070","Tnrc6a","astrocytes"
"2071","Idh1","astrocytes"
"2072","Nr2f1","astrocytes"
