"","cellname","cluster","celltype","nUMI"
"X1772067073_C01","X1772067073_C01",1,"iNeuron",3066
"X1772058177_D04","X1772058177_D04",1,"iNeuron",3912
"X1772071017_D01","X1772071017_D01",1,"iNeuron",3744
"X1772058148_H08","X1772058148_H08",1,"iNeuron",4373
"X1772071015_E08","X1772071015_E08",1,"iNeuron",5506
"X1772071014_C04","X1772071014_C04",1,"iNeuron",4291
"X1772071017_A08","X1772071017_A08",1,"iNeuron",4387
"X1772063064_B06","X1772063064_B06",1,"iNeuron",2065
"X1772067065_A08","X1772067065_A08",1,"iNeuron",3494
"X1772071017_A06","X1772071017_A06",1,"iNeuron",6883
"X1772071014_F12","X1772071014_F12",1,"iNeuron",4308
"X1772071014_E02","X1772071014_E02",1,"iNeuron",4582
"X1772067069_H02","X1772067069_H02",2,"eNeuron",6301
"X1772063071_B07","X1772063071_B07",2,"eNeuron",11410
"X1772067073_F04","X1772067073_F04",2,"eNeuron",11848
"X1772067069_A03","X1772067069_A03",2,"eNeuron",8629
"X1772067066_E04","X1772067066_E04",2,"eNeuron",11935
"X1772067063_C05","X1772067063_C05",2,"eNeuron",19182
"X1772067069_C12","X1772067069_C12",2,"eNeuron",6175
"X1772067064_C12","X1772067064_C12",2,"eNeuron",13550
"X1772071041_F07","X1772071041_F07",2,"eNeuron",8325
"X1772071040_B04","X1772071040_B04",2,"eNeuron",7853
"X1772067063_E09","X1772067063_E09",2,"eNeuron",11580
"X1772067070_D04","X1772067070_D04",2,"eNeuron",7552
"X1772067064_C07","X1772067064_C07",2,"eNeuron",13217
"X1772067069_A11","X1772067069_A11",2,"eNeuron",8632
"X1772067064_H09","X1772067064_H09",2,"eNeuron",15014
"X1772071040_B01","X1772071040_B01",2,"eNeuron",7339
"X1772067064_B04","X1772067064_B04",2,"eNeuron",11590
"X1772063063_E12","X1772063063_E12",2,"eNeuron",11140
"X1772067069_D10","X1772067069_D10",2,"eNeuron",6325
"X1772062109_B03","X1772062109_B03",2,"eNeuron",7921
"X1772067064_C09","X1772067064_C09",2,"eNeuron",16860
"X1772067064_D02","X1772067064_D02",2,"eNeuron",10584
"X1772067069_H10","X1772067069_H10",2,"eNeuron",6894
"X1772071017_G01","X1772071017_G01",2,"eNeuron",4557
"X1772067063_B02","X1772067063_B02",2,"eNeuron",9818
"X1772060240_A07","X1772060240_A07",2,"eNeuron",12597
"X1772067073_A01","X1772067073_A01",2,"eNeuron",6721
"X1772067064_B01","X1772067064_B01",2,"eNeuron",10544
"X1772067074_A06","X1772067074_A06",2,"eNeuron",8853
"X1772062116_B04","X1772062116_B04",2,"eNeuron",8747
"X1772071041_G09","X1772071041_G09",2,"eNeuron",10308
"X1772067069_B02","X1772067069_B02",2,"eNeuron",17167
